EventId,EventTemplate,Occurrences
e2797d68,op=start ver=<*>.<*>.<*> format=raw kernel=<*>.<*>.<*>-<*>-azure auid=<*> pid=<*> uid=<*> ses=<*> subj=unconfined res=success,7
19eb6545,audit_backlog_limit=<*> old=<*> auid=<*> ses=<*> res=<*>,7
86c6192b,audit_failure=<*> old=<*> auid=<*> ses=<*> res=<*>,7
90cf8960,audit_backlog_wait_time=<*> old=<*> auid=<*> ses=<*> res=<*>,7
b324f02a,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> hostname=? addr=? <*> <*>,800
9402bcf7,"pid=<*> uid=<*> auid=<*> ses=<*> <*> acct=""akep"" exe=""/usr/sbin/sshd"" hostname=<*> addr=<*> terminal=ssh res=success'",2
10851a30,table=security family=<*> entries=<*>,39
41928865,op=terminate auid=<*> pid=<*> <*> res=success,6
77b98999,"apparmor=""STATUS"" operation=""profile_load"" profile=""unconfined"" <*> pid=<*> comm=""apparmor_parser""",70
d7793fe5,"pid=<*> uid=<*> auid=<*> ses=<*> msg='old-level=N new-level=<*> comm=""systemd-update-utmp"" exe=""/lib/systemd/systemd-update-utmp"" hostname=? addr=? terminal=? res=success'",5
5690cd83,pid=<*> uid=<*> old-auid=<*> auid=<*> tty=(none) old-ses=<*> ses=<*> res=<*>,10
7ca59cdf,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> terminal=pts/<*> <*>,12
e7fed54a,"auid=<*> ses=<*> op=add_rule key=""home"" list=<*> res=<*>",5
b4cc6266,arch=c000003e syscall=<*> <*> exit=<*> <*> <*> <*> <*> items=<*> ppid=<*> pid=<*> auid=<*> uid=<*> gid=<*> euid=<*> suid=<*> fsuid=<*> egid=<*> sgid=<*> fsgid=<*> <*> ses=<*> <*> <*> <*>,5311
15d58767,"cwd=""/home/akep""",5226
73d5134d,item=<*> <*> inode=<*> dev=<*>:<*> mode=<*> ouid=<*> ogid=<*> rdev=<*>:<*> <*> cap_fp=<*> cap_fi=<*> cap_fe=<*> cap_fver=<*>,10888
82f14ed8,proctitle=7375646F00617564697463746C002D6C,1
84c4ac86,proctitle=69707461626C6573002D77002D74007365637572697479002D4C004F5554505554002D2D7A65726F004F5554505554002D6E<*>,18
e558b054,"proctitle=""bash""",5
6cfd83c2,"name=""iptable_security""",4
eeb56e84,proctitle=2F7362696E2F6D6F6470726F6265002D71002D2D0069707461626C655F<*>,4
d46a2bc1,proctitle=69707461626C6573002D77002D74007365637572697479002D41004F5554505554002D64003136382E36332E3132392E3136002D7000746370002D6D006F776E6572002D2D7569642D6F776E65720030002D6A<*>,4
c55634be,proctitle=69707461626C6573002D77002D74007365637572697479002D41004F5554505554002D64003136382E36332E3132392E3136002D7000746370002D6D00636F6E6E747261636B002D2D6374737461746500494E56414C49442C4E4557002D6A0044524F<*>,4
4e35aee4,proctitle=7861757468002D71002D66002E58617574686F7269747900616464003A3130002E<*>,18
6e18603f,proctitle=2F7573722F6C69622F786F72672F586F7267003A3130002D61757468002E58617574686F72697479002D636F6E66696700787264702F786F72672E636F6E66002D6E6F7265736574002D6E6F6C697374656E00746370002D6C6F6766696C65002E786F7267787264702E25732E6C6F<*>,4
70ad7c67,proctitle=746F756368002F686F6D652F616B65702F2E7873657373696F6E2D6572726F<*>,2
db4e4626,proctitle=2F62696E2F7368002F6574632F5831312F5873657373696F6E,2
299c0a9a,"proctitle=""/usr/sbin/xrdp-chansrv""",25
014dea0b,saddr=01002F686F6D652F616B65702F2E7063736331302F70637363642E636F6D6D<*>,4
7a12ca58,"proctitle=""xfce4-session""",22
f849cbff,"proctitle=""/usr/lib/x86_<*>-linux-gnu/xfce4/xfconf/xfconfd""",34
28562aa7,proctitle=2F7573722F62696E2F6963656175746800736F75726365002F746D702F2E7866736D2D4943452D4C<*>,9
b918f8d9,proctitle=5468756E6172002D2D6461656D6F6E,32
e070f1af,"proctitle=""xfwm4""",14
8e1e0274,"cwd=""/""",2
a04ff662,proctitle=2F7573722F62696E2F70756C7365617564696F002D2D7374617274002D2D6C6F672D7461726765743D7379736C6F<*>,2
67a52f9b,"proctitle=""xfce4-panel""",14
db320942,"proctitle=""xfdesktop""",14
cfe89943,"proctitle=""xfce4-appfinder""",7
313e50cc,proctitle=2F7573722F6C69622F7838365F36342D6C696E75782D676E752F78666365342F65786F2D312F65786F2D68656C7065722D31002D2D6C61756E6368005465726D696E616C456D756C61746F<*>,28
77e0b049,proctitle=7375646F0061707400696E7374616C6C0066696C657A696C6C<*>,2
a3042561,"proctitle=""filezilla""",170
310479df,item=<*> <*> <*> cap_fp=<*> cap_fi=<*> cap_fe=<*> cap_fver=<*>,3
c444993a,"proctitle=""/usr/lib/x86_<*>-linux-gnu/xfce4/notifyd/xfce4-notifyd""",14
21e15ecb,table=filter family=<*> entries=<*>,4
e4a6a9dd,"name=""iptable_filter""",2
1dd2dc1b,proctitle=2F7362696E2F6D6F6470726F6265002D71002D2D0069707461626C655F66696C<*>,2
fd3767e5,"name=""ip6table_filter""",2
ed8847de,proctitle=2F7362696E2F6D6F6470726F6265002D71002D2D006970367461626C655F66696C<*>,2
26042467,proctitle=2F7362696E2F61707061726D6F725F706172736572002D2D77726974652D6361636865002D2D7265706C616365002D2D63616368652D6C6F633D2F6574632F61707061726D6F722E642F6361636865002D2D002F6574632F61707061726D6F722E642F6C78632D636F6E7461696E657273002F6574632F61707061726D6F722E,6
2833cf84,proctitle=2F7573722F62696E2F6963656175746800736F75726365002F746D702F2E7866736D2D4943452D<*>,9
5a670331,proctitle=7375646F0073797374656D63746C<*>,1
0bb838a4,"proctitle=""/usr/lib/firefox/firefox""",4782
13d95ce6,proctitle=76696D002F686F6D652F616B65702F5075626C69632F5265706F7274735F323031392E<*>,10
cc0133ab,"cwd=""/home/akep/Public""",7
dc967cf6,"proctitle=""/usr/lib/gvfs/gvfsd-metadata""",20
53434674,"cwd=""/home/akep/Downloads""",36
356fc139,proctitle=76696D002F686F6D652F616B65702F446F776E6C6F6164732F5265706F72745F323032302E<*>,23
4dc60efc,proctitle=7375646F002E2F5265706F72745F323032302E<*>,1
47b0b511,proctitle=7375646F006170740067657400696E7374616C6C<*>,1
14c03f69,proctitle=7375646F0061707400696E7374616C6C<*>,1
c95f29ff,proctitle=77676574006F72662E6174002D2D6261636B67726F756E<*>,3
d94d5699,proctitle=77676574006578616D706C652E636F6D3F693D5957746C634341784D4334774C6A41754F53414E43673D3D,1
